Ebers, Georg Moritz	http://de.wikipedia.org/wiki/Georg_Ebers	: Fürstengraben	: (vor 1928) Fürstengraben 13, verloren; E
Eckhardt, Johann Christian Ludwig von: 		: Am Kreuz (4)	: (1858) ebd., erneuert 1929, Gebäude 1945 zerstört
Edelmann, Johann Christian	http://de.wikipedia.org/wiki/Johann_Christian_Edelmann	: unbekannt	: (nach 1991) Coll. Jen.
Eggeling, Heinrich von		: Kasernenstr. (S)	: (1929) Rathenaustr. S
Eggeling, Heinrich von		: Kahlaische Str. (2), Sellierstr. (1), Kasernenstr. (S)	: (1977) Teichgraben 7 (Anatomisches Institut)
Eichhorn, Gustav	http://de.wikipedia.org/wiki/Gustav_Eichhorn	: Leuträer: 33; Johannisstr. 19	: (1934) Coll. Jen., verloren um 1973; E
Eichhorn, Johann Gottfried	http://de.wikipedia.org/wiki/Johann_Gottfried_Eichhorn	: Jenergasse (9)	: (1858) ebd., verloren, erneuert 1929 und 1987
Eichstädt, Karl Heinrich Abraham	http://de.wikipedia.org/wiki/Heinrich_Karl_Eichst%C3%A4dt	: Engelplatz (8), Am Kreuz (4): 1. (1858) Engelplatz 8, neue Anbringung: (1906) Am Kreuz 4, Gebäude 1945 zerstört; 2. (1839) an der Linde im Kollegienhof; 3. (1929) Bibliotheksplatz (UB), Gebäude 1945 zerstört; 4. (nach 1991) Engelplatz 8 (Nachfolgebau)
Endemann, Friedrich		: A. d. Graben	: (vor 1934) Fürstengraben 16, verloren
Endemann, Wilhelm Samuel		: u. a. Sonnenbergstr., Grietgasse 10, Beethovenstr. 44	
Eppenstein, Otto		: u. a. Sonnenbergstr., Grietgasse 10, Beethovenstr. 44	: (nach 1991) Beethovenstr. 44
Erdmannsdörfer, Bernhard		: Jenergasse, V. d. Johannistor	: 1. (vor 1928) Jenergasse 14 (für C. Erdmannsdörfer?); 2. (vor 1934) Fürstengraben 19 (= dasselbe Gebäude), verloren
Ersch, Johann Samuel	http://de.wikipedia.org/wiki/Ersch	: Jenergasse (11)	: 1. (1858) ebd.; 2. (1929) Bibliotheksplatz (UB), Gebäude 1945 zerstört; 3. (nach 1990) Goetheallee 23
Eucken, Rudolf	http://de.wikipedia.org/wiki/Rudolf_Eucken	: Neugasse (21), Forstweg (22), Botzstr. 5	: (1980) Dr.-Otto-Nuschke-Str. 5
Falkner, Albert		: Zwätzengasse (2), Saalbahnhofstr. (5), Unt. Löbdergraben (15 und 14)	: (vor 1928) Löbdergraben 23, verloren um 1980
Fernow, Carl Ludwig	http://de.wikipedia.org/wiki/Fernow	: Fürstengraben (18)	: (1858) Goetheallee 18
Feuerbach, Paul Johann Anselm Ritter von	http://de.wikipedia.org/wiki/Paul_Johann_Anselm_von_Feuerbach	: Leutragasse (5)	: 1. (1858) Johannisstr. 21, vor 1934 verloren; 2. (nach 1991) Coll.Jen.
Fichte, Johann Gottlieb	http://de.wikipedia.org/wiki/Johann_Gottlieb_Fichte	: Leutragasse (5), Unterm Markt (12a); 	: 1. (1858) Unterm Markt 12a, erneuert 1987; 2. (vor 1934) Leutrastr. 5, Gebäude 1945 zerstört
Fick, Johannes Jacob		:	H. d. Kirche (1)	:	(1977) Teichgraben 7 (Anatomisches Institut)
Fischer, Gustav Paul Danckert	http://de.wikipedia.org/wiki/Gustav_Fischer	: Jüdengraben	: (nach 1991) Villengang 2a
Fischer, Kuno	http://de.wikipedia.org/wiki/Kuno_Fischer	: Eichplatz, Fürstengraben, Holzmarkt, Löbdergraben (32), Leutragasse (5)	: 1. (vor 1928) Löbdergraben 32, verloren; 2. (vor 1928) Leutrastr. 5, Gebäude 1945 zerstört; E
Flacius (Vlacich) Illyricus, Matthias	http://de.wikipedia.org/wiki/Flacius	: H. d. Rinne/Kollegiengasse	: 1. (1858) H. d. Rinne 9, Gebäude 1969 abgerissen, 2. (nach 1991) Co11. Jen.
Follen, Karl Theodor Christian Friedrich	http://de.wikipedia.org/wiki/Karl_Follen	: Am Rähmen (15)	: (1858) ebd., verloren vor 1934; E
Fortlage, Carl		: Neugasse (21)	: 1. (vor 1928) Engelplatz 11, verloren vor 1934, 2. (nach 1991) Neugasse 21
Frege, Gottlob	http://de.wikipedia.org/wiki/Gottlob_Frege	: Saumarkt, Forstweg (29)	: (1983) Prof.-Ibrahim-Str. 29
Friderici, Johann Arnold		: unbekannt	: (1929) Teichgraben 7 (Anatomisches Institut), erneuert 1977
Fries, Jakob Friedrich	http://de.wikipedia.org/wiki/Jakob_Friedrich_Fries	: Nonnenplan, Leutragasse (5)	: 1. (1858) Leutrastr. 5, Gebäude 1945 zerstört.; 2. (nach 1991) Coll. Jen.
Frommann, Carl Friedrich Ernst	http://de.wikipedia.org/wiki/Carl_Friedrich_Ernst_Frommann	: Fürstengraben (18), Löbdergraben (6); 	: 1. (1858) Goetheallee 18; 2. (vor 1928) Ernst-Thälmann-Ring 6; 3. (1988) Markt 19 (= Vorderhaus)
Frommann, Friedrich Johann		: Fürstengraben (18), Löbdergraben (6); 	:1. (vor 1934) Fürstengraben 18, verloren um 1934; 2. (vor 1934) Ernst-ThälmannRing 6; 3. (1988) Markt 19 (= Vorderhaus)
Froriep, Ludwig Friedrich von		: Jenergasse (9)	: (1858) ebd., erneuert 1929 und 1987
Fuchs, Johann Friedrich		: H. d. Kirche, Schloß, Kollegiengasse (22)	: (1858) Kollegiengasse23, verloren vor 1934
Fürbringer, Max	http://de.wikipedia.org/wiki/Max_F%C3%BCrbringer		
Gabler, Johann Philipp	http://de.wikipedia.org/wiki/Johann_Philipp_Gabler	: Leutragasse (5)	: (1858) ebd., Gebäude 1945 zerstört
Gärtner, August Hieronymus	http://de.wikipedia.org/wiki/August_G%C3%A4rtner	: Kahlaische Str. (3), Carl-Alexander-Platz (5), Magdelstieg 2	: (nach 1934) Magdelstieg 2
Gagern, Heinrich Frhr. von	http://de.wikipedia.org/wiki/Heinrich_von_Gagern	: unbekannt	: (1929) Leutrastr. 5, Gebäude 1945 zerstört; E
Gall, Johann (Franz) Joseph	http://de.wikipedia.org/wiki/Franz_Joseph_Gall	: Markt 22 ("Zur Sonne")	: (1858) ebd., verloren vor 1934
Gegenbaur, Carl	http://de.wikipedia.org/wiki/Carl_Gegenbaur	: Sitzenplan, V. d. Neutor	: 1. (vor 1928) Erbertstr. 2; 2. (1929) Teichgraben 7 (Anatomisches Institut), erneuert 1977
Gelzer, Heinrich	http://de.wikipedia.org/wiki/Heinrich_Gelzer	: Am Landgrafen, Zwätzengasse, Kahlaische Str.	: (vor 1928) Kahlaische Str. 4, erneuert 1929
Gensler, Johann Caspar		: Markt (5)	: (1858) ebd., Gebäude 1945 zerstört
Gerber, Karl Friedrich Wilhelm von	http://de.wikipedia.org/wiki/Karl_von_Gerber	:	H. d. Rinne;		:	(vor 1929)	Unterm Markt 4, verloren vor 1934
Gerhard, Johann	http://de.wikipedia.org/wiki/Johann_Gerhard	: Johannisgasse (19), Jenergasse (10/11) (Kellerhaus "Zum güldenen Stern")	: 1. (1858) Jenergasse 10, Gebäude 1945 zerstört; 2. (1929) Kollegienkirche, Gebäude 1945 zerstört; 3. (1991) Johannisstr. 19
Gerhardt, Karl Adolf Christian Jakob; 		: V. d. Johannistor, Zwätzengasse	: (vor 1934) Zwätzengasse 9, verloren, erneuert 1989
Gerstenberg, Heinrich Wilhelm von	http://de.wikipedia.org/wiki/Heinrich_Wilhelm_von_Gerstenberg	: unbekannt	: (1858) Saalstr. 12/13, verloren vor 1934, erneuert 1990 (Nachfolgebau)
Gesner, Johann Matthias	http://de.wikipedia.org/wiki/Johann_Matthias_Gesner	: unbekannt	: (1858) Ernst-ThälmannRing 28, erneuert 1983
Geyer, Günter		: Leninstr. 4, Zwätzengasse 1, Langetal 4a; 	: (1983) Teichgraben 7 (Anatomisches Institut) 
Glass(ius), Salomo	http://de.wikipedia.org/wiki/Salomo_Glassius	: Jenergasse (10/11), Johannisgasse (12)	: (1858) Markt 16, verloren vor 1934
Goering, Reinhard	http://de.wikipedia.org/wiki/Reinhard_Goering	: Bismarckstr. 7, Johannisstr. 14	: (1989) Johannisstr. 14
Goerttler, Viktor		: Dornburger Str. 25	: (nach 1991) ebd.
Goethe, Johann Wolfgang von	http://de.wikipedia.org/wiki/Goethe	: "Güne Tanne", "Schwarzer Bär", Schloß, Schloßgasse (9), Fürstengraben (26)	: 1. (1858) Goetheallee 26; 2. (1858) Wenigenjenaer Ufer 1 ("Günne Tanne"); 3. (1858) Schloßgasse 9, verloren vor 1934; 4. (um 1905) Erfurter Str. 98 (ehemaliges Schloßtor); 5. (nach 1934) Markt 22 ("Zur Sonne"), verloren 1973; 6. (nach 1945) Unterm Markt 1 (Mauerrest); 7. (1977) Anatomieturm
Goettling, Johann Friedrich August		: Jenergasse (15)	: (1858) ebd., verloren nach 1934, erneuert 1991
Goettling, Karl Wilhelm	http://de.wikipedia.org/wiki/Karl_Wilhelm_G%C3%B6ttling	: Jenergasse (15)	: 1. (vor 1928) ebd., verloren nach 1934; 2. (1929) Bibliotheksplatz (UB) , Gebäude 1945 zerstört; 3. (1991) Jenergasse 15
